County,Year,State,Latitude,Longitude,Region,Population,Med_Sales,Rec_Sales,med_sales_per_citizen,rec_sales_per_citizen,Medical Sales Tax (2.9%),Retail Sales Tax (2.9%),Retail Marijuana Special Sales Tax
Adams,2014,COLORADO,39.874325,-104.331872,NE,479477,"$5,781,889","$2,749,908",$12,$6,"$150,247","$38,490","$40,187"
Adams,2015,COLORADO,39.874325,-104.331872,NE,489774,"$5,364,214","$19,462,442",$11,$40,"$148,254","$461,943","$1,524,393"
Adams,2016,COLORADO,39.874325,-104.331872,NE,497419,"$4,942,140","$44,868,387",$10,$90,"$143,489","$1,276,362","$3,643,737"
Adams,2017,COLORADO,39.874325,-104.331872,NE,503375,"$11,187,391","$62,132,216",$22,$123,"$297,812","$937,857","$6,398,279"
Alamosa,2014,COLORADO,37.568442,-105.788041,SW,15758,"NA",$0,"NA",$0,"NA",$0,$0
Alamosa,2015,COLORADO,37.568442,-105.788041,SW,15854,"NA",$0,"NA",$0,"NA",$0,$0
Alamosa,2016,COLORADO,37.568442,-105.788041,SW,16006,"NA",$0,"NA",$0,"NA",$0,$0
Alamosa,2017,COLORADO,37.568442,-105.788041,SW,16056,"NA",$0,"NA",$0,"NA",$0,$0
Arapahoe,2014,COLORADO,39.644632,-104.331733,NE,617498,"$16,861,284","$2,221,929",$27,$4,"$333,697","$23,467","$68,510"
Arapahoe,2015,COLORADO,39.644632,-104.331733,NE,628951,"$19,190,919","$49,342,266",$31,$78,"$629,605","$1,276,430","$3,729,548"
Arapahoe,2016,COLORADO,39.644632,-104.331733,NE,637266,"$18,337,608","$95,552,527",$29,$150,"$522,720","$2,680,956","$7,875,184"
Arapahoe,2017,COLORADO,39.644632,-104.331733,NE,643257,"$12,477,526","$111,836,427",$19,$174,"$368,409","$1,873,934","$11,953,841"
Archuleta,2014,COLORADO,37.202395,-107.050863,SW,12240,"NA","NA","NA","NA","NA","NA","NA"
Archuleta,2015,COLORADO,37.202395,-107.050863,SW,12401,"NA","NA","NA","NA","NA","NA","NA"
Archuleta,2016,COLORADO,37.202395,-107.050863,SW,12839,"NA","NA","NA","NA","NA","$114,538","$337,872"
Archuleta,2017,COLORADO,37.202395,-107.050863,SW,13316,"NA","$6,397,398","NA",$480,"NA","$82,679","$655,314"
Baca,2014,COLORADO,37.303144,-102.535457,SE,3576,$0,$0,$0,$0,$0,$0,$0
Baca,2015,COLORADO,37.303144,-102.535457,SE,3544,$0,$0,$0,$0,$0,$0,$0
Baca,2016,COLORADO,37.303144,-102.535457,SE,3522,$0,$0,$0,$0,$0,$0,$0
Baca,2017,COLORADO,37.303144,-102.535457,SE,3539,$0,$0,$0,$0,$0,$0,"$51,444"
Bent,2014,COLORADO,37.931891,-103.077584,SE,5777,$0,$0,$0,$0,$0,$0,$0
